Software			Installed? |
--------------------------------
VSCode				[x]
Brave				[x]
Packet Tracer		[via GUI]
Spotify				[x]
Python				[x]
Oracle Vbox			[x]
Discord				[x]
flameshot			[x]	=> Gelijkaardig aan lightshot voor macOS & Windows
Panopto				[TODO]
Notepad++			[x]
7-zipp				[x]
WinRAR				[x]
PDF-reader			[x]
VIM					[x]
FileZilla 			[x]
Teams				[x]
MS-Office 			[???]
Draw.IO				[x]
Git					[x]
Jabreff				[x]
MiKTeX				[!!!]
Eclipse				[TODO]
SQL					[TODO]
Vagrant				[x]
Bitwarden			[x]

